date,banking_beta,equity_returns_inv,equity_volatility,debt_spread,empi,fsi_variance_equal,banking_beta_std,equity_returns_inv_std,equity_volatility_std,debt_spread_std,empi_std
2017-12-01,1.1474241415122877,0.03350860810434675,0.034407607397740625,,-0.8603626432072087,-0.2878040406065898,0.2270680286107346,0,-0.8200994250179154,,-0.5581847660191783
2018-01-01,1.1446604335856092,-0.000836377473431682,0.028465805430709094,,-1.4139753306321845,-0.4378297787528285,0.21415002204760725,0,-1.0492795046635561,,-0.9161896323953652
2018-02-01,1.1215780328194185,-0.013506307693704755,0.028708689283447233,,-1.1157321514655347,-0.41424416809672243,0.10625924179835297,0,-1.0399112791615917,,-0.7233246350236511
2018-03-01,1.0831702561559298,-0.008972544525560622,0.02716440499241742,,-2.205506557157708,-0.650197418093206,-0.0732647615251,0,-1.0994755660189235,,-1.4280493448288003
2018-04-01,1.085789586315606,0.01647160464069053,0.027044244911856734,,-5.0,-1.1000742530029526,-0.06102159940689432,0,-1.1041102369463496,,-3.2351651756585666
2018-05-01,1.0845800646470278,-0.012945503588735363,0.026478015138301093,,-3.1972467785875462,-0.8155008827898471,-0.0666750943736057,0,-1.1259501746153,,-2.069378262170483
2018-06-01,1.0845674630152864,0.020551215483685326,0.026165653144542212,,-0.5227253176336204,-0.386144242400407,-0.06673399638708209,0,-1.1379982278835068,,-0.3398447453310392
2018-07-01,1.1143676709331516,0.04353500098869212,0.027264490313235263,,0.9449240993559556,-0.10345445521282681,0.07255687358853173,0,-1.0956151947168062,,0.6092405002769672
2018-08-01,1.1212446589270835,-0.00015990001388388464,0.027116200077799166,,0.9328690855286315,-0.0987972468616051,0.10470099966734214,0,-1.1013348683371127,,0.6014448812233502
2018-09-01,1.121686916311241,0.0061976653220394695,0.02684420658402665,,-0.2541028622857562,-0.29279807128540614,0.10676818040521613,0,-1.1118258761007094,,-0.16613458944613133
2018-10-01,1.1549013958324206,0.04600865664329845,0.02863678708538341,,1.0739552918083057,-0.021996393552415533,0.2620178941335132,0,-1.0426846047571596,,0.6926811364139843
2018-11-01,1.194745908157038,-0.04972499394199126,0.030940243705219226,,0.7581637032241519,-0.004278224977068465,0.4482574264464007,0,-0.9538384307305977,,0.4884681043759232
2018-12-01,1.1850375379179934,0.014651812071898362,0.031079884902408955,,0.1282290181131005,-0.11611632824867843,0.4028789733708709,0,-0.9484523574701078,,0.08110807110452325
2019-01-01,1.174353578623834,-0.006122096656596909,0.024153343289100907,,-1.7100532413022695,-0.49258214721382765,0.3529404632447267,0,-1.2156146370975198,,-1.1076544150025176
2019-02-01,1.1991453326815853,0.01330945192173516,0.023881509824857677,,-2.8408847425330954,-0.6490519925037068,0.468821030267731,0,-1.2260994723934926,,-1.8389295278890658
2019-03-01,1.2513917822506804,0.03881417933843956,0.024821799746055292,,-2.7903036588622565,-0.5707557015949392,0.713029172495271,0,-1.1898317340498463,,-1.8062202448251812
2019-04-01,1.2621190640132445,0.03295452453526693,0.025336846502762442,,-2.3143949344204193,-0.47631500226120427,0.7631701786687651,0,-1.1699659664967845,,-1.4984642212167978
2019-05-01,1.3142183376919558,0.01976929314146325,0.024792022197086597,,-4.889962641375487,-0.8370742919146109,1.006690397581559,0,-1.190980278057567,,-3.164007287182436
2019-06-01,1.33687119909093,0.029612845081041783,0.024723683660325287,,-2.1927427933818158,-0.37520952637903754,1.1125734431091878,0,-1.1936161503711722,,-1.4197953982541658
2019-07-01,1.3677203405553193,-0.014456746946445165,0.024162207969064948,,-0.8495892677306446,-0.12743086744911702,1.2567671938514269,0,-1.215272719263256,,-0.551217944384639
2019-08-01,1.4513607830790822,-0.09241861283016739,0.03272334252556795,,0.9040892572902033,0.3363716887617345,1.6477158085856176,0,-0.8850628754477065,,0.582833821909027
2019-09-01,1.4513661110222456,0.0032219329730480695,0.03270345862805968,,0.47610277730056083,0.2669946469890882,1.6477407122319427,0,-0.8858298133631565,,0.30606768908756654
2019-10-01,1.4558127405141665,0.024915321195798867,0.03272845433097819,,-1.024988212206916,0.02975400581022064,1.6685249595129015,0,-0.8848657090026529,,-0.664643227269366
2019-11-01,1.4815597451762237,-0.05074131112423785,0.03500513123008795,,-0.8200525887487815,0.11492515398193753,1.7888705184609694,0,-0.7970524503379527,,-0.5321174521952666
2019-12-01,1.4661528771877241,-0.029910838301294262,0.03567738351847551,,-1.4304600092025757,0.004720866384536282,1.7168563885048158,0,-0.7711231390196901,,-0.9268497839469806
2020-01-01,1.4825626230223081,0.017316576479226242,0.03565844498688652,,-0.5283555493858828,0.16955471634740166,1.7935581276228043,0,-0.7718536134114687,,-0.34348564882172883
2020-02-01,1.4757394430304671,0.029486577980140538,0.035939954788869,,-0.08661470674273453,0.2357112440148243,1.7616655086288957,0,-0.7609955539881916,,-0.05782497858140687
2020-03-01,1.4548026943187393,0.054884443880714784,0.036682092239735835,,-0.8078398606648296,0.10180332114418014,1.6638038443561085,0,-0.7323707157587469,,-0.524219844020641
2020-04-01,1.4533217018343048,,0.037671269828473936,,-0.3484794934375218,0.18387474004489968,1.6568814519972093,0,-0.6942173407677023,,-0.22716515104990834
2020-05-01,1.519561819436005,,0.038761421828643616,,-0.15679161142888376,0.3027806516825057,1.9664982047882673,0,-0.6521693015346546,,-0.10320629652358995
2020-06-01,1.4710095029187316,-0.08777452038838085,0.04294140304854289,,0.15755572848372734,0.337171435225588,1.7395570228454382,0,-0.4909440647783394,,0.10007278283525324
2020-07-01,1.5319712617471752,-0.07103080405668827,0.044570742506714556,,-0.9925069319334925,0.23819105346749628,2.024501894567856,0,-0.42809913173185465,,-0.6436385489660162
2020-08-01,1.5286724390737159,-0.0035675476655523397,0.04432643022245292,,-1.788745977607777,0.10325438906148915,2.0090826773144768,0,-0.437522452986276,,-1.1585426680822442
2020-09-01,1.5550783866874551,-0.036706632601553935,0.044949861708401005,,-0.8151458398556529,0.29752190916728743,2.132508239504706,0,-0.41347619927469975,,-0.5289444035608564
2020-10-01,1.2795067157843725,-0.12112426141220212,0.05202438421353435,,-1.0520487112848762,0.005423544779344924,0.844442804306437,0,-0.14060617765879196,,-0.6821424475302653
2020-11-01,1.2714508405485914,0.05724057338965949,0.05329599738510022,,3.776095144219799,0.7888259960496717,0.8067883734011329,0,-0.09155903513285098,,2.4400746459304052
2020-12-01,1.2443307156770145,-0.10047143120977786,0.055716774352744726,,-0.8489140775984002,0.03276389854003234,0.6800246341137781,0,0.0018122790454756753,,-0.5507813189991244
2021-01-01,1.2162253524956999,-0.08747638194676277,0.05686232667795527,,5.0,0.9565476047971426,0.5486557356384434,0,0.0459971533625111,,3.231537530187616
2021-02-01,1.2014713983402752,-0.21713217324840706,0.07059463240035464,,1.9838505178495933,0.5841099958695851,0.4796934278735569,0,0.5756632271630273,,1.2810833284417562
2021-03-01,1.1689523832729138,0.14130631067005694,0.08249502791281148,,1.3015700725397095,0.5505595810099584,0.32769442464622167,0,1.034671051134992,,0.8398728482586197
2021-04-01,1.1655673309443633,0.033472216304842206,0.08237784741548144,,0.21622764885674994,0.3700094077444004,0.3118721563903643,0,1.0301513051286422,,0.13801416945859496
